threshold,precision,recall,f1,accuracy
0.8350000000000001,0.7272727272727273,0.03508771929824561,0.06694560669456066,0.9777
0.8400000000000001,0.7272727272727273,0.03508771929824561,0.06694560669456066,0.9777
0.845,0.7272727272727273,0.03508771929824561,0.06694560669456066,0.9777
0.85,0.7272727272727273,0.03508771929824561,0.06694560669456066,0.9777
0.855,0.7272727272727273,0.03508771929824561,0.06694560669456066,0.9777
0.86,0.7272727272727273,0.03508771929824561,0.06694560669456066,0.9777
0.865,0.7272727272727273,0.03508771929824561,0.06694560669456066,0.9777
0.87,0.7,0.03070175438596491,0.058823529411764705,0.9776
0.875,0.7,0.03070175438596491,0.058823529411764705,0.9776
0.88,0.7,0.03070175438596491,0.058823529411764705,0.9776
0.885,0.7,0.03070175438596491,0.058823529411764705,0.9776
0.89,0.7777777777777778,0.03070175438596491,0.05907172995780591,0.9777
0.895,0.7777777777777778,0.03070175438596491,0.05907172995780591,0.9777
0.9,0.7777777777777778,0.03070175438596491,0.05907172995780591,0.9777
0.905,0.7142857142857143,0.021929824561403508,0.0425531914893617,0.9775
0.91,0.7142857142857143,0.021929824561403508,0.0425531914893617,0.9775
0.915,0.6,0.013157894736842105,0.02575107296137339,0.9773
0.92,0.6,0.013157894736842105,0.02575107296137339,0.9773
0.925,0.6,0.013157894736842105,0.02575107296137339,0.9773
0.93,0.6,0.013157894736842105,0.02575107296137339,0.9773
0.935,0.6,0.013157894736842105,0.02575107296137339,0.9773
0.9400000000000001,0.5,0.008771929824561403,0.017241379310344827,0.9772
0.9450000000000001,0.5,0.008771929824561403,0.017241379310344827,0.9772
0.9500000000000001,0.5,0.008771929824561403,0.017241379310344827,0.9772
0.9550000000000001,0.6666666666666666,0.008771929824561403,0.017316017316017316,0.9773
0.9600000000000001,0.5,0.0043859649122807015,0.008695652173913044,0.9772
0.9650000000000001,0.0,0.0,0.0,0.9771
0.97,0.0,0.0,0.0,0.9771
0.975,0.0,0.0,0.0,0.9771
0.98,0.0,0.0,0.0,0.9771
0.985,0.0,0.0,0.0,0.9771
0.99,0.0,0.0,0.0,0.9771
